,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,FDC10,HDC2,HDE1,FDE1,FDC6,FDC3,HDC3,FDC2,FDE2,HDE3
Bella,0,X1,HDC3,HDE2,FDE5,FDC10,FDE6,FDC7,FDC5,HDE3,HDC4,FDC3
Caleb,0,X1,FDC1,HDE2,FDC3,FDC4,FDC9,FDE1,HDE1,HDC3,HDC2,FDE5
Delilah,0,X1,HDC4,HDE3,FDC8,FDE6,FDC2,HDE2,FDC3,HDC3,FDE1,FDC10
Ethan,0,X1,HDE1,FDC6,HDC2,FDE4,HDE2,FDE1,FDC8,HDC1,FDC3,FDC9
Fiona,0,X1,HDE3,HDC1,HDC3,FDE5,FDC2,FDC3,FDC6,FDC1,FDE1,HDE1
Gabriel,0,X1,FDC8,FDE6,FDC1,FDC3,HDE3,FDC7,HDE2,HDC4,HDC3,FDE1
Hannah,0,X1,HDC1,FDC8,FDE1,HDE2,HDC4,HDE3,FDC6,FDC7,FDC10,FDE6
Isaac,0,X1,FDC10,HDE3,FDE6,HDE2,FDC8,FDC3,FDC7,HDC4,FDE1,HDC2
Jasmine,0,X1,HDC4,FDC2,HDE4,FDC11,FDC1,FDE5,HDC3,HDE1,FDE1,FDC9
Kaden,0,X2,FDC1,HDC4,FDC9,FDE5,FDE3,HDE4,FDC6,HDC3,HDE3,FDC4
Lily,0,X2,FDC3,HDE4,HDC4,FDE5,FDC4,HDE2,FDE6,FDC11,HDC3,FDC2
Mason,0,X2,FDC6,FDE4,HDE1,HDC4,HDE3,HDC3,FDC9,FDE3,FDC5,FDC3
Nora,0,X2,HDE4,FDE2,HDC4,FDC10,FDC3,HDC1,FDE4,FDC5,FDC8,HDE1
Oliver,0,X2,FDC4,FDE4,FDE3,FDC11,FDC2,HDE1,FDC8,HDC4,HDE2,HDC3
Penelope,0,X2,FDE4,FDC1,HDC3,FDE6,HDE1,FDC9,HDE3,FDC4,FDC10,HDC2
Quentin,0,X2,FDC4,HDC3,FDC2,FDE3,HDE1,FDC3,FDC6,HDC4,FDE6,HDE3
Rose,0,X2,FDC6,FDE4,HDC1,HDE4,FDC9,FDC8,HDC4,FDE3,HDE2,FDC2
Sebastian,0,X3,HDE4,FDE3,HDE1,FDC3,FDC6,FDE4,FDC4,HDC1,FDC5,HDC4
Tessa,0,X3,FDC10,HDE3,FDE1,HDC2,HDC4,FDC11,FDC6,HDE1,FDC1,FDE6
Uriel,0,X3,FDC6,FDC2,HDE4,HDC1,HDE3,HDC4,FDC4,FDE4,FDE3,FDC9
Violet,0,X3,FDC7,HDE2,FDC8,FDC4,FDE2,HDC2,FDE5,HDE1,HDC4,FDC10
William,0,X3,HDC1,FDC5,FDE6,FDC9,FDC4,HDC2,FDE3,HDE3,FDC6,HDE4
Xena,0,X3,FDC10,FDE5,HDE3,HDC2,FDC8,FDC3,HDC1,FDC9,HDE1,FDE6
Yosef,0,X3,FDE1,FDC1,FDC4,HDE4,HDE2,FDE6,HDC3,FDC10,FDC6,HDC2
Daniel,0,X3,FDE1,FDC9,FDC5,HDE1,HDC1,HDC2,FDE2,FDC6,HDE3,FDC11
Donald,0,X3,FDE6,HDC4,FDC8,FDC5,HDC2,HDE3,HDE4,FDC2,FDE4,FDC9
Zari,0,X3,HDE2,FDC10,HDC4,FDE1,FDC6,FDE3,HDE4,FDC7,HDC3,FDC9
Mohar,0,X3,FDE6,HDC1,HDE2,FDC9,HDE4,FDC7,FDC2,HDC3,FDC4,FDE4
Abdul,0,X3,HDC4,FDE6,FDC1,HDC2,FDE4,HDE3,FDC2,FDC8,HDE1,FDC9
